file,session,failed,failMsg,nTrials,nInc,nDec,pCorrect,pInc,pDec,dMean_sumDM,dMean_meanDM,dMean_longestPosRun,dMean_longestNegRun,dMean_nSwitch,dMean_dEarlyLate,dMean_maxCumDM,dMean_minCumDM,dev_m0,dev_m1,dev_m2,dev_m3,dev_m4,dDev_m1,dDev_m2,dDev_m3,dDev_m4,devExpl_m1,devExpl_m2,devExpl_m3,devExpl_m4,incOver_m1_m2,incOver_m1_m3,incOver_m1_m4,b_m1_sumDM,p_m1_sumDM,b_m2_sumDM,p_m2_sumDM,b_m2_longestPosRun,p_m2_longestPosRun,b_m2_longestNegRun,p_m2_longestNegRun,b_m2_nSwitch,p_m2_nSwitch,b_m3_sumDM,p_m3_sumDM,b_m3_dEarlyLate,p_m3_dEarlyLate,b_m4_sumDM,p_m4_sumDM,b_m4_maxCumDM,p_m4_maxCumDM,b_m4_minCumDM,p_m4_minCumDM,Npred_pref_50,Npred_pref_125,Npred_pref_250,Npred_probe_50,Npred_probe_125,Npred_probe_250,Npred_beta1,Npred_pCorrect,Npred_stdSumDM,Npred_gamma,Npred_rPref,Npred_rProbe,Npred_refWindowMS,Npred_nRefFrames,Npred_zTarget,Npred_valid
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260113.mat,IDReadout_Meetz_20260113.mat,0,,516,255,261,0.848837209302326,0.862745098039216,0.835249042145594,60.282087270458,2.00940290901527,1.25008781173165,-1.39427467509659,-0.0827186512118021,42.4832620155043,28.6250914612397,41.6280873162779,438.311839523629,435.027204438723,431.141527681087,432.932685294146,434.538475623771,3.28463508490654,7.17031184254199,5.37915422948356,3.773363899858,0.00749383153436234,0.0163589280415854,0.0122724365267655,0.00860885689047096,3.88567675763545,2.09451914457702,0.488728814951457,0.000824617231235051,0.0709987313088758,-0.000383037655077235,0.635525326825881,0.0449995749892304,0.244541932712688,-0.0498951089535788,0.130768980097757,-0.0832144196605627,0.463904812705228,0.000819020529031476,0.0716821461626384,0.000745153338004243,0.147447567757084,-5.77580220810824e-05,0.965496390662995,0.000389111105792994,0.803987655286833,0.0011654547655987,0.443258329909202,91001.5319331325,568759.574582078,2275038.29832831,91029.0182775724,568931.364234827,2275725.45693931,0.000824617231235051,0.848837209302326,270.970559394873,0.223446992434413,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260114_4.mat,IDReadout_Meetz_20260114_4.mat,0,,465,238,227,0.808602150537634,0.798319327731092,0.819383259911894,8.96377126262668,0.298792375420889,-0.446808510638299,-0.801219220655032,-0.0296437963184317,11.1803085776156,-3.33335151037681,10.5198695705088,454.066477554719,453.978116718819,449.315433570073,453.858113063569,453.097915193871,0.0883608359002892,4.75104398464612,0.208364491150064,0.968562360848239,0.000194598897448096,0.0104633224857996,0.000458885430768129,0.00213308493078862,4.66268314874583,0.120003655249775,0.88020152494795,0.000137010761019894,0.766339983388937,-8.95582548828477e-05,0.914463316756937,-0.0406018822291206,0.214918879440082,-0.0576588813237944,0.0997593524740671,-0.0809105201329131,0.46715427494898,0.000127882449461585,0.780601334501092,0.000167028216304576,0.71795144136727,0.00028371571939249,0.803899516087821,-0.00104270738704209,0.442143743125261,0.000788485483118932,0.573219554950578,2102418.77109842,13140117.3193652,52560469.2774606,2103053.79124887,13144086.1953055,52576344.7812218,0.000137010761019894,0.808602150537634,256.141896099339,0.0350941961136491,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260115.mat,IDReadout_Meetz_20260115.mat,0,,792,401,391,0.832070707070707,0.855361596009975,0.808184143222506,-8.84524296522034,-0.294841432174011,0.118064508768127,0.374331123712164,0.0332355927755654,-37.6202368530196,-16.5213182030483,-2.83524212448461,716.898758052757,716.76627328529,715.346934957655,714.281687517293,714.747852292373,0.132484767466849,1.55182309510178,2.61707053546434,2.15090576038392,0.000184802618192148,0.00216463353809797,0.00365054410552033,0.00300029221172906,1.41933832763493,2.48458576799749,2.01842099291707,-0.000135333877135097,0.715857455986398,-0.00011726320735726,0.858367485262735,0.0202093529563952,0.468114962527963,0.0230693369119192,0.422124087379402,0.056934607542376,0.502873167793157,-9.82940494791724e-05,0.791094976736089,-0.000604948702348085,0.117432736179378,0.000670957806366666,0.479691431689232,-0.00157238082677431,0.148512258652187,6.16131628364743e-05,0.956893817172832,NaN,NaN,NaN,NaN,NaN,NaN,-0.000135333877135097,0.832070707070707,255.770715038162,-0.0346144425237305,0.707160165211599,0.707053393130889,250,30,2,0
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260116.mat,IDReadout_Meetz_20260116.mat,0,,916,454,462,0.783842794759825,0.819383259911894,0.748917748917749,-8.16488071330946,-0.272162690443649,0.416420472130779,0.516136293295067,-0.0716215075546551,-43.1974179891556,-3.8215652972103,-16.8485066772351,956.305934774717,956.163233362381,951.291421234711,951.170283103025,952.612021970312,0.142701412336578,5.01451354000653,5.13565167169202,3.69391280440573,0.000149221506578013,0.00524362900789467,0.00537030199744797,0.00386268940731391,4.87181212766995,4.99295025935544,3.55121139206915,-0.000112625402654256,0.705654666870439,-0.00028457936694556,0.602032901747091,0.0359082886305022,0.119938589042251,0.0262298092866182,0.266841243026962,-0.0179734381547927,0.798660465844024,-6.13843236718919e-05,0.838106839021116,-0.000752626297027592,0.026665636980013,0.00102735333282086,0.236244827605157,-0.000455669933469572,0.64886367155353,-0.00178851029367943,0.0663548478739958,NaN,NaN,NaN,NaN,NaN,NaN,-0.000112625402654256,0.783842794759825,269.435703032924,-0.0303453045435157,0.707160165211599,0.707053393130889,250,30,2,0
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260209.mat,IDReadout_Meetz_20260209.mat,0,,667,350,317,0.779610194902549,0.742857142857143,0.82018927444795,-42.5278357637779,-1.41759452545926,-0.993563579277866,0.568027210884353,0.0439952904238621,-10.8316353989023,-30.8560317254306,-11.0742717962706,703.5527767,700.344745495033,698.454165977164,700.157779244716,697.694498572213,3.20803120496635,5.0986107228357,3.39499745528349,5.85827812778655,0.0045597591413306,0.00724694847592051,0.00482550501926473,0.0083267074223837,1.89057951786936,0.186966250317141,2.6502469228202,-0.00065861603177449,0.0737956669944489,-0.00015637965609501,0.805141153606236,-0.0363204637398701,0.180675124932072,0.00141816794509391,0.958637884896963,0.00425953197983802,0.960737500325241,-0.000651400045933142,0.0765026098536384,-0.000166677599775917,0.664805695843481,-0.000800660573082469,0.423138201641162,-0.00103962014736401,0.373029109033927,0.00143850519104395,0.220570553617203,NaN,NaN,NaN,NaN,NaN,NaN,-0.00065861603177449,0.779610194902549,254.225117615467,-0.167436738141302,0.707160165211599,0.707053393130889,250,30,2,0
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260210.mat,IDReadout_Meetz_20260210.mat,0,,489,232,257,0.791411042944785,0.801724137931034,0.782101167315175,24.0841568669939,0.802805228899798,0.60905912752698,-0.25231798145615,-0.017859857121143,46.5331555963775,23.8444886440139,20.1712067377049,500.815348391383,500.13071640102,499.548954455784,496.884337588782,497.422298716137,0.684631990363016,1.2663939355985,3.93101080260044,3.39304967524566,0.00136703476153846,0.00252866438631754,0.00784922190429433,0.00677505129613964,0.581761945235485,3.24637881223742,2.70841768488265,0.000352810909473451,0.409041737563491,4.77267648483514e-05,0.949296421061382,0.0248500884438319,0.465944063110245,0.00197776862547947,0.94944955489361,0.0100756587420511,0.916333497010712,0.000357030269953529,0.405111814363056,0.000856383461952038,0.0750385029456991,-0.00141351621509376,0.224558572722228,0.00177928752077971,0.181613475344688,0.00165306298311213,0.219375293351418,249352.238590618,1558451.49119137,6233805.96476546,249427.553603137,1558922.21001961,6235688.84007842,0.000352810909473451,0.791411042944785,262.188754678492,0.0925030529918302,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260212.mat,IDReadout_Meetz_20260212.mat,0,,835,426,409,0.839520958083832,0.795774647887324,0.885085574572127,10.2376413435951,0.34125471145317,0.115655673132199,-0.234771222347606,-0.0534630698149767,-33.5998671087249,-3.76310473967092,5.95428855224742,735.57385649159,735.384045367294,734.990617239876,733.10953601656,734.068812342499,0.189811124295716,0.583239251713508,2.46432047503004,1.50504414909119,0.00025804495717268,0.000792903726208187,0.0033502012792895,0.00204608162159227,0.393428127417792,2.27450935073432,1.31523302479548,0.000164938752254525,0.663336675399792,7.51204172838114e-05,0.908615081724929,-0.00474747830590494,0.859061169875255,-0.0110875653556708,0.688760479464773,-0.0470407686579214,0.57523188286632,0.000167155511756129,0.65765070527739,-0.000600052101154383,0.133456789593139,0.000882659146753146,0.354965730631861,-0.00135305012763749,0.233409279566561,-5.91372515899229e-05,0.957772490215334,2316593.45847175,14478709.1154484,57914836.4617938,2317293.1685137,14483082.3032106,57932329.2128426,0.000164938752254525,0.839520958083832,249.563124531092,0.0411626303688989,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260213.mat,IDReadout_Meetz_20260213.mat,0,,748,373,375,0.81951871657754,0.774798927613941,0.864,17.4581439038468,0.581938130128228,0.238402513443296,-0.189595794816022,0.159204881880249,27.73116031989,12.7655892964027,20.0634124679262,706.295253413648,705.787290381351,703.689104647427,704.156674463561,703.190036084353,0.507963032297198,2.60614876622083,2.13857895008641,3.10521732929487,0.000719193608964699,0.00368988571510973,0.00302788237603224,0.00439648619226424,2.09818573392363,1.63061591778921,2.59725429699768,0.000262898356316695,0.475943698818867,0.000281514375421926,0.655500971313763,0.00577403268367411,0.828777017669741,0.010098292205413,0.711271076752198,0.121888155383477,0.142483852250257,0.000262741522579784,0.475504951307233,0.000530438115891816,0.205679238425536,-0.00121381551659417,0.240065887504668,0.000925694770695479,0.431010357261555,0.00187233468760267,0.117715298980607,646365.424697621,4039783.90436013,16159135.6174405,646560.654627489,4041004.09142181,16164016.3656872,0.000262898356316695,0.81951871657754,257.685113327725,0.0677449927411402,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260216.mat,IDReadout_Meetz_20260216.mat,0,,914,450,464,0.829321663019694,0.76,0.896551724137931,24.791365147385,0.826378838246166,0.0742676408903327,-0.748156417021853,0.0555611934239901,-6.76416508244493,8.50117155331716,12.0721122072364,835.323197722496,834.213193779027,832.061390950191,834.126042457816,833.855689382372,1.11000394346945,3.2618067723057,1.1971552646803,1.46750834012471,0.00132883169831255,0.00390484399475437,0.00143316415483772,0.00175681501977422,2.15180282883625,0.0871513212108539,0.357504396655258,0.000346017138035545,0.292145244038344,0.000171969482718386,0.759911645629517,-0.017561227888986,0.4766787124368,-0.0289990539239683,0.223910351546448,0.00941207072081419,0.903648008347808,0.000342863255663317,0.295305023919441,-0.000111896043411744,0.760902899764743,0.000821193477065497,0.378611751393397,-0.000682351513683521,0.52995142935838,-0.000260608832810011,0.806573825285109,394581.258476046,2466132.86547529,9864531.46190114,394700.438847514,2466877.74279696,9867510.97118785,0.000346017138035545,0.829321663019694,267.660863564648,0.0926152459747619,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260217.mat,IDReadout_Meetz_20260217.mat,0,,973,475,498,0.739979445015416,0.829473684210526,0.654618473895582,-16.5823521658732,-0.552745072195774,-0.615316205533597,0.14038208168643,-0.0735891523935002,8.82311929708597,-10.6248505326504,-11.766960176578,1115.21059734329,1114.4666434539,1110.56177542352,1114.22695077097,1113.99920685867,0.743953889392742,4.64882191977608,0.983646572320595,1.21139048462078,0.000667097220170812,0.00416855967012035,0.000882027640935158,0.00108624369917808,3.90486803038334,0.239692682927853,0.467436595228037,-0.000239770307957235,0.388744093750989,0.000183067743423513,0.706305402985537,-0.0374979590176541,0.0793286192318286,-0.00662175671562509,0.751975449669558,-0.0763657690058012,0.235055696611851,-0.000237849965418048,0.392242240078127,0.000147331978565303,0.625125103735713,0.000240302085795071,0.752195994575951,-0.000413930043721978,0.642268241087577,-0.000513268565417587,0.564169232623339,NaN,NaN,NaN,NaN,NaN,NaN,-0.000239770307957235,0.739979445015416,263.28145159864,-0.0631270747292339,0.707160165211599,0.707053393130889,250,30,2,0
